user_id,course_id,rating,language,preferred_instructor
0,C4781,3,English,0
0,C3923,2,English,0
0,C4437,2,English,0
0,C1806,2,English,0
0,C158,3,English,0
0,C3528,2,English,0
0,C2436,3,English,0
0,C2791,2,English,0
0,C2295,3,English,0
0,C4953,3,English,0
1,C1780,4,English,0
1,C1518,4,English,0
1,C2476,3,English,0
1,C2934,3,English,0
1,C1775,4,English,0
1,C2522,4,English,0
1,C2386,4,English,0
1,C213,4,English,0
1,C1618,4,English,0
1,C1744,4,English,0
2,C605,3,English,0
2,C3680,5,English,1
2,C4982,5,English,1
2,C1512,3,English,0
2,C586,3,English,0
2,C1483,3,English,0
2,C378,3,English,0
2,C866,2,English,0
2,C4019,5,English,1
2,C4551,5,English,1
3,C4052,4,English,0
3,C1262,4,English,0
3,C3433,4,English,0
3,C281,4,English,0
3,C4012,4,English,0
3,C344,4,English,0
3,C298,4,English,0
3,C3359,4,English,0
3,C3127,4,English,0
3,C3419,4,English,0
4,C3076,5,English,1
4,C3034,5,English,1
4,C3041,5,English,1
4,C3065,5,English,1
4,C2822,5,English,1
4,C1192,2,English,0
4,C3070,5,English,1
4,C3740,5,English,1
4,C4191,5,English,1
4,C3100,5,English,1
5,C3319,2,English,0
5,C147,3,English,0
5,C2989,3,English,0
5,C1359,2,English,0
5,C2726,2,English,0
5,C4491,3,English,0
5,C1716,3,English,0
5,C1028,3,English,0
5,C1020,3,English,0
5,C756,3,English,0
6,C4672,5,English,1
6,C4689,5,English,1
6,C4745,5,English,1
6,C4673,5,English,1
6,C4706,5,English,1
6,C4728,5,English,1
6,C4765,5,English,1
6,C4657,5,English,1
6,C4784,5,English,1
6,C4772,5,English,1
7,C4666,5,English,1
7,C4756,5,English,1
7,C4860,5,English,1
7,C4729,5,English,1
7,C4809,5,English,1
7,C4705,5,English,1
7,C4776,5,English,1
7,C4832,5,English,1
7,C4648,5,English,1
7,C4843,5,English,1
8,C1587,2,English,0
8,C2012,3,English,0
8,C2269,3,English,0
8,C1138,3,English,0
8,C3824,3,English,0
8,C038,2,English,0
8,C4578,3,English,0
8,C4104,3,English,0
8,C2887,2,English,0
8,C3963,2,English,0
9,C4210,4,English,0
9,C4193,4,English,0
9,C4228,4,English,0
9,C3744,4,English,0
9,C4267,4,English,0
9,C4521,4,English,0
9,C4514,4,English,0
9,C4520,4,English,0
9,C4319,4,English,0
9,C4183,4,English,0
10,C3557,5,English,1
10,C3588,5,English,1
10,C3554,5,English,1
10,C3682,5,English,1
10,C3565,5,English,1
10,C3552,5,English,1
10,C3599,5,English,1
10,C3670,5,English,1
10,C3632,5,English,1
10,C3592,5,English,1
11,C1039,3,English,0
11,C657,3,English,0
11,C2765,3,English,0
11,C4131,3,English,0
11,C2814,3,English,0
11,C4028,3,English,0
11,C096,3,English,0
11,C872,3,English,0
11,C3189,3,English,0
11,C4447,3,English,0
12,C4215,5,English,1
12,C161,2,English,0
12,C1235,3,English,0
12,C2927,5,English,1
12,C706,3,English,0
12,C2451,3,English,0
12,C4801,5,English,1
12,C4790,5,English,1
12,C207,3,English,0
12,C213,2,English,0
13,C430,5,English,1
13,C3772,2,English,0
13,C518,3,English,0
13,C267,2,English,0
13,C1925,3,English,0
13,C3150,3,English,0
13,C3756,2,English,0
13,C1717,3,English,0
13,C2266,3,English,0
13,C4630,3,English,0
14,C680,4,English,0
14,C818,4,English,0
14,C1929,4,English,0
14,C2800,5,English,0
14,C2251,4,English,0
14,C196,4,English,0
14,C2814,4,English,0
14,C1689,4,English,0
14,C2559,4,English,0
14,C1847,4,English,0
15,C211,4,English,0
15,C3034,5,English,0
15,C422,4,English,0
15,C2035,4,English,0
15,C2135,4,English,0
15,C2635,4,English,0
15,C3076,4,English,0
15,C055,4,English,0
15,C2390,4,English,0
15,C155,4,English,0
16,C2559,4,English,0
16,C3081,5,English,1
16,C724,4,English,0
16,C1044,4,English,0
16,C292,4,English,0
16,C284,4,English,0
16,C1707,5,English,0
16,C314,4,English,0
16,C836,4,English,0
16,C1229,4,English,0
17,C3116,5,English,1
17,C3956,5,English,1
17,C4025,5,English,1
17,C3001,5,English,1
17,C3326,5,English,1
17,C3862,5,English,1
17,C4026,5,English,1
17,C4035,5,English,1
17,C4057,5,English,1
17,C3233,5,English,1
18,C1733,4,English,0
18,C3063,4,English,0
18,C3078,4,English,0
18,C3087,4,English,0
18,C3081,4,English,0
18,C3083,5,English,0
18,C3064,4,English,0
18,C1301,4,English,0
18,C299,4,English,0
18,C771,4,English,0
19,C2814,4,English,0
19,C964,4,English,0
19,C1229,5,English,0
19,C335,4,English,0
19,C1897,4,English,0
19,C753,5,English,0
19,C1049,4,English,0
19,C166,4,English,0
19,C1689,4,English,0
19,C1484,4,English,0
20,C431,4,English,0
20,C810,4,English,0
20,C2190,4,English,0
